Place,CarNum,Team,D1R1_Right,D1R1_Left,D1R1_Cones,D1R1_AdjTime,D1R2_Right,D1R2_Left,D1R2_Cones,D1R2_AdjTime,D2R1_Right,D2R1_Left,D2R1_Cones,D2R1_AdjTime,D2R2_Right,D2R2_Left,D2R2_Cones,D2R2_AdjTime,BestTime,Penalty,Score
1,65,Universidad Politecnica de Valencia,5.336,5.366,,5.351,5.140,5.050,,5.095,5.123,5.254,,5.188,5.117,5.043,,5.080,5.080,,75
2,4,Univ of Connecticut,5.463,5.226,,5.344,5.254,5.064,,5.159,5.256,5.236,,5.246,5.360,5.133,,5.246,5.159,,68.96
3,81,Univ of Texas - Arlington,5.266,5.093,,5.179,5.320,11.523,,,5.290,5.213,1,5.376,5.377,5.100,,5.238,5.179,,67.48
4,106,Iowa State Univ,5.346,5.236,,5.291,5.227,5.334,,5.280,5.297,5.096,,5.196,5.167,5.410,,5.288,5.196,,66.23
5,5,Texas A & M Univ - College Station,5.217,5.187,,5.202,5.390,5.303,,5.346,9.650,5.870,,,5.363,5.260,,5.311,5.202,,65.79
6,3,Univ of Calif - Berkeley,5.480,7.387,,6.433,5.194,5.276,,5.235,5.347,5.336,,5.341,5.264,5.153,,5.208,5.208,,65.36
7,8,Purdue Univ - W Lafayette,5.194,5.257,,5.225,5.240,5.547,,5.393,5.507,5.224,,5.365,5.203,5.197,1,5.325,5.225,,64.13
8,43,Univ of Nebraska - Lincoln,5.533,5.543,,5.538,5.570,5.537,,5.553,5.427,5.240,,5.333,5.330,5.166,,5.248,5.248,,62.49
9,138,Oakland University,5.340,5.217,,5.278,5.520,5.334,,5.427,5.467,5.167,,5.317,5.407,5.260,,5.333,5.278,,60.38
10,71,Univ of South Florida,5.837,5.653,,5.745,5.356,5.570,,5.463,5.840,5.387,,5.613,5.440,5.134,,5.287,5.287,,59.75
11,148,CEFET-MG,5.280,5.303,,5.291,5.803,5.420,,,5.347,,,,5.237,5.440,,5.338,5.291,,59.48
12,124,Univ of Wisconsin - Madison,5.610,,,,5.527,5.550,,5.538,5.540,5.523,,5.531,5.363,5.237,,5.300,5.300,,58.85
13,10,Kansas State Univ,5.380,5.233,,5.306,5.374,5.300,,5.337,5.487,5.450,,5.468,5.343,5.353,,5.348,5.306,,58.44
14,48,Univ of Alabama - Tuscaloosa,5.540,5.373,,5.456,5.483,5.403,,5.443,5.603,5.197,,5.400,5.520,5.104,,5.312,5.312,,58.03
15,131,Univ of Southern California,5.520,5.470,,5.495,5.336,5.360,,5.348,5.450,5.240,,5.345,5.493,5.237,,5.365,5.345,,55.79
16,74,Virginia Tech,5.620,5.757,,5.688,5.370,5.323,,5.346,5.664,5.740,,5.702,5.647,5.627,,5.637,5.346,,55.73
17,22,Univ of Missouri,5.460,5.430,,5.445,5.440,5.260,,5.350,5.430,5.230,3,,5.630,,,,5.350,,55.46
18,80,South Dakota School of Mines & Tech,5.307,5.404,,5.355,5.426,5.310,,5.368,5.443,5.314,,5.378,5.626,5.403,,5.514,5.355,,55.13
19,29,Univ of Victoria,6.216,5.447,,5.831,5.756,5.406,,5.581,5.644,5.297,,5.470,5.526,5.220,,5.373,5.373,,53.93
20,58,Clemson Univ,5.336,5.427,,5.381,5.530,5.220,,5.375,5.743,5.230,,5.486,5.430,5.583,,5.506,5.375,,53.8
21,7,Instituto Maua de Tecnologia,5.936,5.670,,5.803,5.450,5.540,,5.495,,,,,5.450,5.337,,5.393,5.393,,52.62
21,56,Univ of Maryland - College Park,5.240,,,,5.370,6.100,1,,5.443,5.643,,5.543,5.243,5.544,,5.393,5.393,,52.62
23,2,Univ of North Carolina - Charlotte,5.840,5.783,,5.811,5.503,5.304,,5.403,5.867,5.707,,5.787,5.790,,,,5.403,,51.96
23,98,Missouri University of Science and Tech,5.200,5.607,,5.403,5.587,5.420,,5.503,6.037,5.650,,5.843,5.446,5.647,,5.546,5.403,,51.96
25,61,Univ of Wisconsin - Platteville,5.310,5.504,,5.407,5.447,5.443,,5.445,6.097,5.843,1,6.095,5.936,5.640,,5.788,5.407,,51.7
26,128,North Carolina State Univ - Raleigh,5.530,5.547,,5.538,5.633,5.643,,5.638,5.660,5.340,,5.500,5.330,5.503,,5.416,5.416,,51.12
27,92,Univ of Michigan - Dearborn,7.284,6.644,,6.964,5.853,5.740,,5.796,5.750,5.436,,5.593,5.640,5.220,,5.430,5.430,,50.22
28,119,Kennesaw State University,,,,,5.620,5.243,,5.431,5.640,5.143,1,5.516,6.490,,,,5.431,,50.16
29,93,Michigan Tech Univ,5.610,5.636,,5.623,5.690,5.184,,5.437,5.647,5.480,,5.563,5.514,5.557,,5.535,5.437,,49.77
30,23,Colorado School of Mines,5.873,5.533,,5.703,5.553,5.327,,5.440,6.263,5.757,,6.010,5.744,5.526,,5.635,5.440,,49.58
